canonical_name,catalog_exercise_id_if_resolvable,family,base_movement,default_measurement_mode,allowed_measurement_modes,sets_applicable,load_applicability,rir_applicability,distance_unit_recommendation,measurement_disposition,confidence,notes
Cable Lateral Raise,,shoulder_elevation,lateral_raise,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Woodchop,,rotational_core,woodchop,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Leg Press,,bilateral_knee_dominant,leg_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Machine Chest Press,,horizontal_press,machine_chest_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Machine Row,,rowing,row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Treadmill Walk,,treadmill_locomotion,treadmill_walk,duration,duration|distance,yes,not_applicable,not_applicable,meters,MULTI_MODE_VALID,medium,"Walking mode is physical identity; prescribe one primary duration or distance target, defaulting to duration."
Treadmill Incline Walk,,treadmill_locomotion,treadmill_walk,duration,duration|distance,yes,not_applicable,not_applicable,meters,MULTI_MODE_VALID,medium,"Incline is setup, not measurement; duration and distance are valid alternatives, with duration the default."
Treadmill Intervals,,treadmill_locomotion,treadmill_locomotion_unspecified,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,Physical treadmill work defaults to duration with distance allowed; intervals remain protocol semantics and locomotion mode is still unspecified.
Bike Steady State,,stationary_cycling,stationary_bike,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,"Stationary cycling defaults to duration; device-reported distance is an allowed alternative, while steady state remains protocol semantics."
Bike Intervals,,stationary_cycling,stationary_bike,duration,duration|distance,yes,not_applicable,not_applicable,meters,PROTOCOL_IDENTITY_CANDIDATE,medium,Stationary cycling defaults to duration with distance allowed; intervals remain protocol semantics.
Bear Crawl,,quadrupedal_locomotion,bear_crawl,distance,duration|distance,yes,not_applicable,not_applicable,meters,MULTI_MODE_VALID,medium,"Quadrupedal locomotion is naturally distance-based, with duration valid when space is constrained."
Bird Dog,,core_anti_rotation,bird_dog,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Dynamic control drill; count deliberate repetitions, while RIR is not a useful default target."
Hollow Body Hold,,core_anti_extension,hollow_hold,duration,duration,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Static or isometric identity; prescribe work duration rather than repetitions, with RIR not applicable."
Hollow Rock,,trunk_flexion,hollow_rock,reps,reps|duration,yes,not_applicable,not_applicable,,MULTI_MODE_VALID,medium,Dynamic hollow rocks can be counted or timed; repetitions preserve the movement-cycle default.
Superman Hold,,back_extension,superman_hold,duration,duration,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Static or isometric identity; prescribe work duration rather than repetitions, with RIR not applicable."
Walking Lunge,,unilateral_knee_dominant,walking_lunge,reps,reps|distance,yes,optional,ambiguous,meters,MULTI_MODE_VALID,medium,Walking lunges can be counted per step or prescribed over distance; RIR is meaningful only in rep-mode strength use.
Lateral Lunge,,unilateral_knee_dominant,lateral_lunge,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Wall Sit,,bilateral_knee_dominant,wall_sit,duration,duration,yes,optional,not_applicable,,MEASUREMENT_CLEAR,high,Isometric knee-dominant work is duration-based; external load is optional and rep-based RIR does not apply.
Standing Calf Raise,,ankle_plantarflexion,calf_raise,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Despite taxonomy-pattern review, calf raises are clearly dynamic repetitions; added load is optional and RIR is meaningful."
Single-Leg Glute Bridge,,hip_extension,glute_bridge,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Pike Push-Up,,vertical_press,pike_push_up,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Close-Grip Push-Up,,horizontal_press,push_up,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Tempo Push-Up,,horizontal_press,push_up,reps,reps,yes,optional,applicable,,PROTOCOL_IDENTITY_CANDIDATE,medium,"Physical push-up work remains repetition-based; tempo is protocol, not measurement."
Decline Push-Up,,horizontal_press,push_up,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Bench Dip,,elbow_extension,dip,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Dumbbell Floor Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Fly,,chest_fly,chest_fly,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Incline Dumbbell Fly,,chest_fly,chest_fly,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Pullover,,shoulder_extension,dumbbell_pullover,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Arnold Press,,vertical_press,arnold_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Seated Dumbbell Shoulder Press,,vertical_press,overhead_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Front Raise,,shoulder_elevation,front_raise,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Rear Delt Fly,,rear_delt_retraction,rear_delt_fly,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Chest-Supported Rear Delt Fly,,rear_delt_retraction,rear_delt_fly,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Shrug,,scapular_elevation,shrug,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Upright Row,,shoulder_elevation,upright_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Hammer Curl,,elbow_flexion,hammer_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Concentration Curl,,elbow_flexion,concentration_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Zottman Curl,,elbow_flexion,zottman_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Kickback,,elbow_extension,triceps_kickback,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Skull Crusher,,elbow_extension,skull_crusher,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Close-Grip Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Step-Up,,unilateral_knee_dominant,step_up,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Lateral Lunge,,unilateral_knee_dominant,lateral_lunge,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Bulgarian Split Squat,,unilateral_knee_dominant,split_squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Sumo Squat,,bilateral_knee_dominant,squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Front Squat,,bilateral_knee_dominant,squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Single-Leg RDL,,hip_hinge,romanian_deadlift,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Hip Thrust,,hip_extension,hip_thrust,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Suitcase Carry,,loaded_carry,suitcase_carry,distance,duration|distance,yes,applicable,not_applicable,meters,MULTI_MODE_VALID,high,Unilateral loaded locomotion is distance-first with duration allowed; load remains a separate meaningful observation.
Waiter Carry,,loaded_carry,waiter_carry,distance,duration|distance,yes,applicable,not_applicable,meters,MULTI_MODE_VALID,high,Overhead loaded locomotion is distance-first with duration allowed; load remains a separate meaningful observation.
Dumbbell Front Rack Carry,,loaded_carry,front_rack_carry,distance,duration|distance,yes,applicable,not_applicable,meters,MULTI_MODE_VALID,high,Front-rack loaded locomotion is distance-first with duration allowed; load remains a separate meaningful observation.
Dumbbell Calf Raise,,ankle_plantarflexion,calf_raise,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Despite taxonomy-pattern review, this loaded calf raise is clearly repetition-based with RIR applicable."
Pause Squat,,bilateral_knee_dominant,barbell_squat_unspecified,reps,reps,yes,applicable,applicable,,PROTOCOL_IDENTITY_CANDIDATE,medium,"Physical squat work remains repetition-based; pause is protocol, not measurement."
Box Squat,,bilateral_knee_dominant,squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Reverse Lunge,,unilateral_knee_dominant,reverse_lunge,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Split Squat,,unilateral_knee_dominant,split_squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Good Morning,,hip_hinge,good_morning,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Glute Bridge,,hip_extension,glute_bridge,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Floor Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Close-Grip Bench Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Incline Barbell Bench Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Push Press,,vertical_press,push_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Pendlay Row,,rowing,pendlay_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell High Pull,,vertical_power_pull,high_pull,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Curl,,elbow_flexion,curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Rollout,,core_anti_extension,rollout,reps,reps,yes,applicable,ambiguous,,MEASUREMENT_CLEAR,high,"Count rollout repetitions; plate/load affects difficulty, but RIR is technique-limited and not universally reliable."
Plate Front Raise,,shoulder_elevation,shoulder_raise,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Plate Curl,,elbow_flexion,curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Plate Pinch Carry,,loaded_carry,pinch_grip_carry,distance,duration|distance,yes,applicable,not_applicable,meters,MULTI_MODE_VALID,high,Pinch-grip loaded locomotion is distance-first with duration allowed; plate load remains a separate observation.
EZ-Bar Reverse Curl,,elbow_flexion,reverse_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
EZ-Bar Preacher-Style Curl,,elbow_flexion,preacher_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
EZ-Bar Overhead Triceps Extension,,elbow_extension,overhead_triceps_extension,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
EZ-Bar Upright Row,,shoulder_elevation,upright_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Neutral-Grip Pull-Up,,vertical_pull,pull_up,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Negative Pull-Up,,vertical_pull,pull_up,reps,reps,yes,optional,ambiguous,,MEASUREMENT_CLEAR,high,"Count controlled eccentric repetitions; optional load exists, but conventional RIR is ambiguous for eccentric-only work."
Scapular Pull-Up,,vertical_pull,pull_up,reps,reps,yes,optional,ambiguous,,MEASUREMENT_CLEAR,high,"Count scapular repetitions; optional load exists, while RIR is technique-dependent rather than a universal target."
Commando Pull-Up,,vertical_pull,commando_pull_up,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Dead Hang,,vertical_pull,bar_hang,duration,duration,yes,optional,not_applicable,,MEASUREMENT_CLEAR,high,"Passive bar hang is duration-based; optional external load may be observed, but rep-based RIR does not apply."
Hanging Leg Raise,,trunk_flexion,hanging_leg_raise,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Hanging Oblique Knee Raise,,lateral_trunk_flexion,hanging_oblique_knee_raise,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Band Biceps Curl,,elbow_flexion,curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Hammer Curl,,elbow_flexion,hammer_curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Overhead Triceps Extension,,elbow_extension,overhead_triceps_extension,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Lateral Raise,,shoulder_elevation,shoulder_raise,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
