canonical_name,current_exercise_type,current_movement_pattern,current_equipment_required,proposed_family,proposed_base_movement,physical_variant_attributes,prescription_or_protocol_attributes,visual_identity_candidate,catalog_disposition,confidence,notes
Back Squat,strength,squat,barbell; rack; plates,bilateral_knee_dominant,back_squat,equipment=barbell+rack+plates,,visual_back_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Front Squat,strength,squat,barbell; rack; plates,bilateral_knee_dominant,squat,equipment=barbell+rack+plates; load_position=front_rack,,visual_front_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Bench Press,strength,horizontal_push,barbell; rack; plates; adjustable_bench,horizontal_press,bench_press,equipment=barbell+rack+plates+adjustable_bench; support_type=bench,,visual_barbell_bench_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Overhead Press,strength,vertical_push,barbell; plates,vertical_press,overhead_press,equipment=barbell+plates,,visual_overhead_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Row,strength,horizontal_pull,barbell; plates,rowing,barbell_row,equipment=barbell+plates,,visual_barbell_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Romanian Deadlift,strength,hinge,barbell; plates,hip_hinge,romanian_deadlift,equipment=barbell+plates,,visual_romanian_deadlift,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Conventional Deadlift,strength,hinge,barbell; plates,hip_hinge,conventional_deadlift,equipment=barbell+plates,,visual_conventional_deadlift,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Hip Thrust,strength,hinge,barbell; plates; adjustable_bench,hip_extension,hip_thrust,equipment=barbell+plates+adjustable_bench; support_type=bench,,visual_hip_thrust,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar Curl,strength,arms_biceps,ez_bar; plates,elbow_flexion,curl,equipment=ez_bar+plates,,visual_ez_bar_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar Skull Crusher,strength,arms_triceps,ez_bar; plates; adjustable_bench,elbow_extension,skull_crusher,equipment=ez_bar+plates+adjustable_bench; support_type=bench,,visual_ez_bar_skull_crusher,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
EZ-Bar Close-Grip Press,strength,horizontal_push,ez_bar; plates; adjustable_bench,horizontal_press,bench_press,equipment=ez_bar+plates+adjustable_bench; support_type=bench; grip=close,,visual_ez_bar_close_grip_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Pull-Up,strength,vertical_pull,pull_up_bar,vertical_pull,pull_up,equipment=pull_up_bar; grip=pronated,,visual_pull_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Chin-Up,strength,vertical_pull,pull_up_bar,vertical_pull,chin_up,equipment=pull_up_bar; grip=supinated,,visual_chin_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band-Assisted Pull-Up,strength,vertical_pull,pull_up_bar; resistance_band,vertical_pull,pull_up,equipment=pull_up_bar+resistance_band,,visual_band_assisted_pull_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Hanging Knee Raise,core,core_anti_extension,pull_up_bar,trunk_flexion,hanging_knee_raise,equipment=pull_up_bar; execution_mode=dynamic,,visual_hanging_knee_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Pull-Apart,strength,horizontal_pull,resistance_band,rear_delt_retraction,band_pull_apart,equipment=resistance_band,,visual_band_pull_apart,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Face Pull,strength,horizontal_pull,resistance_band,rear_delt_retraction,face_pull,equipment=resistance_band,,visual_band_face_pull,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Row,strength,horizontal_pull,resistance_band,rowing,row,equipment=resistance_band,,visual_band_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band Triceps Pressdown,strength,arms_triceps,resistance_band,elbow_extension,triceps_pressdown,equipment=resistance_band,,visual_band_triceps_pressdown,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Band External Rotation,mobility,horizontal_pull,resistance_band,shoulder_rotation,external_rotation,equipment=resistance_band; execution_mode=dynamic,,visual_band_external_rotation,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Row,strength,horizontal_pull,cable,rowing,cable_row,equipment=cable; movement_direction=horizontal,,visual_cable_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Lat Pulldown,strength,vertical_pull,cable,vertical_pull,lat_pulldown,equipment=cable,,visual_cable_lat_pulldown,ALIAS_OR_DUPLICATE_CANDIDATE,medium,Possible equivalent to Lat Pulldown; remains separate until setup/instruction/media review confirms an alias.
Lat Pulldown,strength,vertical_pull,cable,vertical_pull,lat_pulldown,equipment=cable,,visual_lat_pulldown,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Face Pull,strength,horizontal_pull,cable,rear_delt_retraction,face_pull,equipment=cable,,visual_cable_face_pull,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Triceps Pressdown,strength,arms_triceps,cable,elbow_extension,triceps_pressdown,equipment=cable,,visual_cable_triceps_pressdown,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Curl,strength,arms_biceps,cable,elbow_flexion,curl,equipment=cable,,visual_cable_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Lateral Raise,strength,vertical_push,cable,shoulder_elevation,lateral_raise,equipment=cable,,visual_cable_lateral_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Cable Woodchop,core,core_anti_rotation,cable,rotational_core,woodchop,equipment=cable,,visual_cable_woodchop,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Leg Press,strength,squat,machine,bilateral_knee_dominant,leg_press,equipment=machine; support_type=machine,,visual_leg_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Machine Chest Press,strength,horizontal_push,machine,horizontal_press,machine_chest_press,equipment=machine; support_type=machine,,visual_machine_chest_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Machine Row,strength,horizontal_pull,machine,rowing,row,equipment=machine,,visual_machine_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Treadmill Walk,conditioning,conditioning,treadmill,treadmill_locomotion,treadmill_walk,equipment=treadmill; locomotion_mode=walk,,visual_treadmill_walk,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Treadmill Incline Walk,conditioning,conditioning,treadmill,treadmill_locomotion,treadmill_walk,equipment=treadmill; grade=incline; locomotion_mode=walk,,visual_treadmill_incline_walk,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Treadmill Intervals,conditioning,conditioning,treadmill,treadmill_locomotion,treadmill_locomotion_unspecified,equipment=treadmill; locomotion_mode=unspecified,protocol=intervals,visual_treadmill_intervals,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,low,Canonical identity does not specify walk/jog/run; preserve that physical uncertainty and canonical ID until reviewed additive migration.
Bike Steady State,conditioning,conditioning,bike,stationary_cycling,stationary_bike,equipment=bike,protocol=steady_state,visual_stationary_bike,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Bike Intervals,conditioning,conditioning,bike,stationary_cycling,stationary_bike,equipment=bike,protocol=intervals,visual_stationary_bike,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Bear Crawl,conditioning,conditioning,bodyweight,quadrupedal_locomotion,bear_crawl,equipment=bodyweight,,visual_bear_crawl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Bird Dog,core,core_anti_rotation,bodyweight,core_anti_rotation,bird_dog,equipment=bodyweight; execution_mode=dynamic,,visual_bird_dog,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Hollow Body Hold,core,core_anti_extension,bodyweight,core_anti_extension,hollow_hold,equipment=bodyweight; execution_mode=isometric,,visual_hollow_body_hold,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Hollow Rock,core,core_anti_extension,bodyweight,trunk_flexion,hollow_rock,equipment=bodyweight,,visual_hollow_rock,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Superman Hold,core,hinge,bodyweight,back_extension,superman_hold,equipment=bodyweight; execution_mode=isometric,,visual_superman_hold,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Walking Lunge,strength,lunge,bodyweight,unilateral_knee_dominant,walking_lunge,equipment=bodyweight; stance=split; locomotion_mode=walk,,visual_walking_lunge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Lateral Lunge,strength,lunge,bodyweight,unilateral_knee_dominant,lateral_lunge,equipment=bodyweight; stance=split,,visual_lateral_lunge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Wall Sit,strength,squat,bodyweight,bilateral_knee_dominant,wall_sit,equipment=bodyweight; execution_mode=isometric,,visual_wall_sit,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Standing Calf Raise,strength,conditioning,bodyweight,ankle_plantarflexion,calf_raise,equipment=bodyweight; body_position=standing,,visual_standing_calf_raise,TAXONOMY_REVIEW_REQUIRED,medium,Current conditioning pattern conflicts with calf-raise semantics.
Single-Leg Glute Bridge,strength,hinge,bodyweight,hip_extension,glute_bridge,equipment=bodyweight; laterality=unilateral,,visual_single_leg_glute_bridge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Pike Push-Up,strength,vertical_push,bodyweight,vertical_press,pike_push_up,equipment=bodyweight,,visual_pike_push_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Close-Grip Push-Up,strength,horizontal_push,bodyweight,horizontal_press,push_up,equipment=bodyweight; grip=close,,visual_close_grip_push_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Tempo Push-Up,strength,horizontal_push,bodyweight,horizontal_press,push_up,equipment=bodyweight,protocol=tempo,visual_push_up,PRESCRIPTION_OR_PROTOCOL_CANDIDATE,medium,Likely describes programming of the identified physical base movement; preserve canonical ID until reviewed additive migration.
Decline Push-Up,strength,horizontal_push,bodyweight; adjustable_bench,horizontal_press,push_up,equipment=bodyweight+adjustable_bench; support_type=bench; bench_angle=decline,,visual_decline_push_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Bench Dip,strength,arms_triceps,bodyweight; adjustable_bench,elbow_extension,dip,equipment=bodyweight+adjustable_bench; support_type=bench,,visual_bench_dip,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Floor Press,strength,horizontal_push,dumbbell,horizontal_press,bench_press,equipment=dumbbell; support_type=floor,,visual_dumbbell_floor_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Fly,strength,horizontal_push,dumbbell; adjustable_bench,chest_fly,chest_fly,equipment=dumbbell+adjustable_bench; support_type=bench,,visual_dumbbell_fly,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Incline Dumbbell Fly,strength,horizontal_push,dumbbell; adjustable_bench,chest_fly,chest_fly,equipment=dumbbell+adjustable_bench; support_type=bench; bench_angle=incline,,visual_incline_dumbbell_fly,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Pullover,strength,horizontal_pull,dumbbell; adjustable_bench,shoulder_extension,dumbbell_pullover,equipment=dumbbell+adjustable_bench; support_type=bench; execution_mode=dynamic,,visual_dumbbell_pullover,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Arnold Press,strength,vertical_push,dumbbell,vertical_press,arnold_press,equipment=dumbbell,,visual_arnold_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Seated Dumbbell Shoulder Press,strength,vertical_push,dumbbell; adjustable_bench,vertical_press,overhead_press,equipment=dumbbell+adjustable_bench; support_type=bench; body_position=seated,,visual_seated_dumbbell_shoulder_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Front Raise,strength,vertical_push,dumbbell,shoulder_elevation,front_raise,equipment=dumbbell,,visual_dumbbell_front_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Rear Delt Fly,strength,horizontal_pull,dumbbell,rear_delt_retraction,rear_delt_fly,equipment=dumbbell,,visual_dumbbell_rear_delt_fly,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Chest-Supported Rear Delt Fly,strength,horizontal_pull,dumbbell; adjustable_bench,rear_delt_retraction,rear_delt_fly,equipment=dumbbell+adjustable_bench; support_type=bench; body_position=chest_supported,,visual_chest_supported_rear_delt_fly,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Shrug,strength,horizontal_pull,dumbbell,scapular_elevation,shrug,equipment=dumbbell,,visual_dumbbell_shrug,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Upright Row,strength,vertical_push,dumbbell,shoulder_elevation,upright_row,equipment=dumbbell; movement_direction=vertical,,visual_dumbbell_upright_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Hammer Curl,strength,arms_biceps,dumbbell,elbow_flexion,hammer_curl,equipment=dumbbell; grip=hammer,,visual_dumbbell_hammer_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Concentration Curl,strength,arms_biceps,dumbbell,elbow_flexion,concentration_curl,equipment=dumbbell; support_type=thigh,,visual_dumbbell_concentration_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Zottman Curl,strength,arms_biceps,dumbbell,elbow_flexion,zottman_curl,equipment=dumbbell,,visual_dumbbell_zottman_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Kickback,strength,arms_triceps,dumbbell; adjustable_bench,elbow_extension,triceps_kickback,equipment=dumbbell+adjustable_bench; support_type=bench,,visual_dumbbell_kickback,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Skull Crusher,strength,arms_triceps,dumbbell; adjustable_bench,elbow_extension,skull_crusher,equipment=dumbbell+adjustable_bench; support_type=bench,,visual_dumbbell_skull_crusher,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Close-Grip Press,strength,horizontal_push,dumbbell; adjustable_bench,horizontal_press,bench_press,equipment=dumbbell+adjustable_bench; support_type=bench; grip=close,,visual_dumbbell_close_grip_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Step-Up,strength,lunge,dumbbell; adjustable_bench,unilateral_knee_dominant,step_up,equipment=dumbbell+adjustable_bench; support_type=bench,,visual_dumbbell_step_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Lateral Lunge,strength,lunge,dumbbell,unilateral_knee_dominant,lateral_lunge,equipment=dumbbell; stance=split,,visual_dumbbell_lateral_lunge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Bulgarian Split Squat,strength,lunge,dumbbell; adjustable_bench,unilateral_knee_dominant,split_squat,equipment=dumbbell+adjustable_bench; support_type=bench; stance=split,,visual_dumbbell_bulgarian_split_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Sumo Squat,strength,squat,dumbbell,bilateral_knee_dominant,squat,equipment=dumbbell; stance=sumo,,visual_dumbbell_sumo_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Front Squat,strength,squat,dumbbell,bilateral_knee_dominant,squat,equipment=dumbbell; load_position=front_rack,,visual_dumbbell_front_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Single-Leg RDL,strength,hinge,dumbbell,hip_hinge,romanian_deadlift,equipment=dumbbell; laterality=unilateral,,visual_dumbbell_single_leg_rdl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Hip Thrust,strength,hinge,dumbbell; adjustable_bench,hip_extension,hip_thrust,equipment=dumbbell+adjustable_bench; support_type=bench,,visual_dumbbell_hip_thrust,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
