"provider_exercise_id","provider_exercise_name","canonical_name","selection_reason","exercise_type","movement_pattern","primary_muscles","secondary_muscles","equipment_required","difficulty","family_slug","base_movement_slug","visual_identity_slug","taxonomy_status","default_measurement_type","allowed_measurement_types","provider_media_decision","provider_media_reason","provider_gif_url","provider_source_endpoint","reviewed_on"
"FS63wTN","dumbbell push press","Dumbbell Push Press","Adds lower-body-driven dumbbell overhead power distinct from strict dumbbell pressing.","strength","vertical_push","shoulders|triceps|quadriceps","triceps|core","dumbbell","intermediate","vertical_press","push_press","visual_dumbbell_push_press","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/FS63wTN.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"QfAKy1G","dumbbell cuban press","Dumbbell Cuban Press","Adds a deliberate external-rotation-to-press pattern for shoulder control using existing dumbbell equipment.","strength","vertical_push","shoulders|rotator_cuff","triceps|upper back","dumbbell","intermediate","shoulder_rotation","external_rotation","visual_dumbbell_cuban_press","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/QfAKy1G.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"ae9UoXQ","dumbbell incline curl","Incline Dumbbell Curl","Adds a shoulder-extended curl setup with a meaningfully different strength curve from standing and spider curls.","strength","arms_biceps","biceps|forearms","forearms","dumbbell|adjustable_bench","beginner","elbow_flexion","curl","visual_incline_dumbbell_curl","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/ae9UoXQ.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"jivWf8n","dumbbell preacher curl","Dumbbell Preacher Curl","Adds supported elbow-flexion work using one dumbbell and an existing adjustable-bench setup.","strength","arms_biceps","biceps|forearms","forearms","dumbbell|adjustable_bench","beginner","elbow_flexion","preacher_curl","visual_dumbbell_preacher_curl","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/jivWf8n.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"r29jP7S","dumbbell seated calf raise","Dumbbell Seated Calf Raise","Adds a seated, knee-bent calf setup that differs materially from the existing standing calf raises.","conditioning","conditioning","calves","hamstrings","dumbbell|adjustable_bench","beginner","ankle_plantarflexion","calf_raise","visual_dumbbell_seated_calf_raise","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/r29jP7S.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"ecl28tP","dumbbell contralateral forward lunge","Contralateral Dumbbell Forward Lunge","Adds a single-dumbbell contralateral loading pattern that challenges frontal-plane trunk control.","strength","lunge","quadriceps|glutes|core","quadriceps|hamstrings|calves","dumbbell","intermediate","unilateral_knee_dominant","lunge","visual_contralateral_dumbbell_forward_lunge","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/ecl28tP.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"84RyJf8","dumbbell one arm shoulder press","Single-Arm Dumbbell Shoulder Press","Adds unilateral overhead pressing with meaningful trunk-stability and side-to-side programming value.","strength","vertical_push","shoulders|triceps|core","triceps|upper back","dumbbell","intermediate","vertical_press","overhead_press","visual_single_arm_dumbbell_shoulder_press","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/84RyJf8.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"zGSIWQi","dumbbell lying one arm press","Single-Arm Dumbbell Bench Press","Adds unilateral horizontal pressing with a distinct anti-rotation demand and simple existing setup.","strength","horizontal_push","chest|triceps|core","triceps|shoulders","dumbbell|adjustable_bench","intermediate","horizontal_press","bench_press","visual_single_arm_dumbbell_bench_press","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/zGSIWQi.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"1kB3Wmk","dumbbell single leg calf raise","Dumbbell Single-Leg Calf Raise","Adds unilateral loaded calf work with clear progression value beyond the existing bilateral raise.","conditioning","conditioning","calves","ankles","dumbbell","intermediate","ankle_plantarflexion","calf_raise","visual_dumbbell_single_leg_calf_raise","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/1kB3Wmk.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"9pQSkH8","dumbbell reverse grip incline bench two arm row","Reverse-Grip Incline Dumbbell Row","Adds a chest-supported supinated row with a distinct grip and elbow path from current incline rows.","strength","horizontal_pull","upper_back|lats|biceps","biceps|forearms","dumbbell|adjustable_bench","intermediate","rowing","dumbbell_row","visual_reverse_grip_incline_dumbbell_row","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/9pQSkH8.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"o5Jsk92","dumbbell one arm bench fly","Single-Arm Dumbbell Bench Fly","Adds unilateral chest-fly loading with a clear stabilization demand and familiar bench setup.","strength","horizontal_push","chest|shoulders","shoulders","dumbbell|adjustable_bench","intermediate","chest_fly","chest_fly","visual_single_arm_dumbbell_bench_fly","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/o5Jsk92.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"EKXOMEh","dumbbell rear delt row_shoulder","Bench-Supported Dumbbell Rear Delt Row","Adds a unilateral bench-supported wide-elbow row distinct from both rear-delt flies and conventional rows.","strength","horizontal_pull","rear_delts|upper_back","trapezius|rhomboids","dumbbell|adjustable_bench","beginner","rear_delt_retraction","rear_delt_row","visual_bench_supported_dumbbell_rear_delt_row","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/EKXOMEh.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"LSTChY9","barbell zercher squat","Zercher Squat","Adds a distinct elbow-cradle front-load squat with strong trunk and upper-back demand.","strength","squat","quadriceps|glutes|core","quadriceps|hamstrings|calves|core","barbell|rack|plates","intermediate","bilateral_knee_dominant","squat","visual_zercher_squat","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/LSTChY9.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"KgI0tqW","barbell sumo deadlift","Sumo Deadlift","Adds a wide-stance deadlift with distinct setup, adductor demand, and substitution value.","strength","hinge","glutes|hamstrings|adductors","hamstrings|quadriceps|lower back","barbell|plates","intermediate","hip_hinge","deadlift","visual_sumo_deadlift","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/KgI0tqW.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"Kxquu2E","barbell step-up","Barbell Step-Up","Adds a common barbell-loaded unilateral bench exercise with meaningful progression value.","strength","lunge","quadriceps|glutes","quadriceps|hamstrings|calves","barbell|rack|plates|adjustable_bench","intermediate","unilateral_knee_dominant","step_up","visual_barbell_step_up","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/Kxquu2E.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"py1HSzx","barbell lateral lunge","Barbell Lateral Lunge","Adds laterally loaded barbell work for adductors and frontal-plane strength.","strength","lunge","quadriceps|glutes|adductors","quadriceps|hamstrings|calves","barbell|plates","intermediate","unilateral_knee_dominant","lateral_lunge","visual_barbell_lateral_lunge","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/py1HSzx.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"UDlhcO8","barbell upright row","Barbell Upright Row","Fills a common barbell shoulder-elevation pattern already represented for dumbbell, cable, and EZ-bar equipment.","strength","vertical_push","shoulders|traps","traps|biceps","barbell|plates","intermediate","shoulder_elevation","upright_row","visual_barbell_upright_row","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/UDlhcO8.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"xNrS20v","barbell reverse curl","Barbell Reverse Curl","Adds a pronated barbell curl that emphasizes forearms and complements existing dumbbell and EZ-bar versions.","strength","arms_biceps","biceps|forearms","forearms","barbell|plates","beginner","elbow_flexion","reverse_curl","visual_barbell_reverse_curl","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/xNrS20v.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"5VCj6iH","barbell hack squat","Barbell Hack Squat","Adds a behind-the-legs barbell squat with a genuinely distinct bar path and quadriceps emphasis.","strength","squat","quadriceps|glutes","quadriceps|hamstrings|calves","barbell|plates","advanced","bilateral_knee_dominant","squat","visual_barbell_hack_squat","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/5VCj6iH.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"gEyURal","barbell single leg deadlift","Barbell Single-Leg Deadlift","Adds a balance-intensive barbell hinge with distinct loading and advanced progression value.","strength","hinge","hamstrings|glutes|core","hamstrings|lower back","barbell|plates","advanced","hip_hinge","deadlift","visual_barbell_single_leg_deadlift","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/gEyURal.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"Ye5Qxb0","ez barbell spider curl","EZ-Bar Spider Curl","Adds a chest-supported EZ-bar curl with a distinct shoulder position and strict elbow path.","strength","arms_biceps","biceps|forearms","forearms","ez_bar|plates|adjustable_bench","beginner","elbow_flexion","spider_curl","visual_ez_bar_spider_curl","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/Ye5Qxb0.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"G8dXpNG","ez bar reverse grip bent over row","EZ-Bar Reverse-Grip Row","Adds a supinated EZ-bar row with a distinct grip and equipment option from existing barbell rows.","strength","horizontal_pull","upper_back|lats|biceps","biceps|forearms","ez_bar|plates","intermediate","rowing","barbell_row","visual_ez_bar_reverse_grip_row","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/G8dXpNG.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"KyLtiLT","ez barbell incline triceps extension","Incline EZ-Bar Triceps Extension","Adds an incline-bench elbow-extension setup with a distinct long-head triceps line of pull.","strength","arms_triceps","triceps","shoulders","ez_bar|plates|adjustable_bench","intermediate","elbow_extension","triceps_extension","visual_incline_ez_bar_triceps_extension","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/KyLtiLT.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"U5INZY6","cable one arm pulldown","Single-Arm Cable Lat Pulldown","Adds unilateral vertical pulling with clear side-to-side loading and substitution value.","strength","vertical_pull","lats|biceps|upper_back","biceps|forearms","cable","intermediate","vertical_pull","lat_pulldown","visual_single_arm_cable_lat_pulldown","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/U5INZY6.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"FVmZVhk","cable low fly","Low Cable Fly","Adds an upward cable-fly path that is meaningfully distinct from the existing standing horizontal fly.","strength","horizontal_push","chest|shoulders","deltoids|triceps","cable","beginner","chest_fly","chest_fly","visual_low_cable_fly","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/FVmZVhk.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"XU3ePuv","cable standing crunch (with rope attachment)","Standing Cable Crunch","Adds a standing trunk-flexion setup distinct from the current kneeling cable crunch.","core","core_anti_extension","core|abs","obliques","cable|rope_cable_attachment","beginner","trunk_flexion","cable_crunch","visual_standing_cable_crunch","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/XU3ePuv.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"RqOtqD7","cable reverse crunch","Cable Reverse Crunch","Adds externally resisted posterior pelvic tilt without duplicating the bodyweight reverse crunch.","core","core_anti_extension","core|abs","hip flexors","cable","intermediate","trunk_flexion","reverse_crunch","visual_cable_reverse_crunch","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/RqOtqD7.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"Eg98Ft9","cable shrug","Cable Shrug","Adds constant-tension scapular elevation using common cable equipment.","strength","horizontal_pull","traps|upper_back","shoulders","cable","beginner","scapular_elevation","shrug","visual_cable_shrug","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/Eg98Ft9.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"uxJcFUU","cable lying triceps extension v. 2","Cable Lying Triceps Extension","Adds a lying cable elbow-extension line that maintains tension through the full range.","strength","arms_triceps","triceps","shoulders","cable|adjustable_bench","intermediate","elbow_extension","triceps_extension","visual_cable_lying_triceps_extension","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/uxJcFUU.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"w4dLzSx","cable one arm decline chest fly","Single-Arm Cable Decline Fly","Adds unilateral decline-bench chest adduction with a distinct cable path and stabilization demand.","strength","horizontal_push","chest|shoulders","shoulders|triceps","cable|adjustable_bench","intermediate","chest_fly","chest_fly","visual_single_arm_cable_decline_fly","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/w4dLzSx.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"zHEpuuc","cable assisted inverse leg curl","Cable-Assisted Nordic Curl","Adds a scalable commercial-gym Nordic knee-flexion progression using cable assistance.","strength","hinge","hamstrings|glutes","glutes|calves","cable|machine","advanced","knee_flexion","hamstring_curl","visual_cable_assisted_nordic_curl","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/zHEpuuc.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"gVlnLIJ","cable reverse one arm curl","Single-Arm Cable Reverse Curl","Adds unilateral pronated elbow flexion with continuous cable tension and forearm emphasis.","strength","arms_biceps","biceps|forearms","forearms","cable","beginner","elbow_flexion","reverse_curl","visual_single_arm_cable_reverse_curl","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/gVlnLIJ.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"KWdF2JI","cable kneeling triceps extension","Bench-Kneeling Cable Triceps Extension","Adds a bench-supported kneeling cable setup distinct from standing and lying triceps work.","strength","arms_triceps","triceps|core","shoulders","cable|adjustable_bench","intermediate","elbow_extension","triceps_extension","visual_bench_kneeling_cable_triceps_extension","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/KWdF2JI.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"Nu7jqFE","resistance band seated straight back row","Resistance Band Seated Row","Adds a portable bench-seated row setup distinct from standing and anchored band rows.","strength","horizontal_pull","upper_back|lats|biceps","biceps|shoulders","resistance_band|adjustable_bench","beginner","rowing","row","visual_band_seated_row","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/Nu7jqFE.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"km0sQC0","band one arm standing low row","Single-Arm Band Low Row","Adds unilateral low-anchor rowing with clear side-to-side training value.","strength","horizontal_pull","upper_back|lats|biceps","biceps|shoulders","resistance_band","beginner","rowing","row","visual_single_arm_band_low_row","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/km0sQC0.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"TFA88iB","band front raise","Band Overhead Front Raise","Adds a band-based full overhead raise with a visibly distinct range from existing front raises.","strength","vertical_push","shoulders","triceps|upper back","resistance_band","beginner","shoulder_elevation","front_raise","visual_band_overhead_front_raise","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/TFA88iB.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"d5bTEPV","band step-up","Band Step-Up","Adds portable resisted step-up work using existing band and bench equipment.","strength","lunge","quadriceps|glutes","quadriceps|hamstrings|calves","resistance_band|adjustable_bench","intermediate","unilateral_knee_dominant","step_up","visual_band_step_up","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/d5bTEPV.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"trmte8s","band shrug","Band Shrug","Adds a compact resistance-band option for direct scapular elevation.","strength","horizontal_pull","traps|upper_back","shoulders","resistance_band","beginner","scapular_elevation","shrug","visual_band_shrug","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/trmte8s.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"sTfvVsG","band reverse fly","Band Reverse Fly","Adds a band-specific rear-delt fly distinct from pull-aparts and face pulls.","strength","horizontal_pull","rear_delts|upper_back","upper back|trapezius","resistance_band","beginner","rear_delt_retraction","rear_delt_fly","visual_band_reverse_fly","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/sTfvVsG.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"9JprnPh","band single leg calf raise","Band Single-Leg Calf Raise","Adds unilateral calf loading with band resistance and an elevated forefoot for a distinct range.","conditioning","conditioning","calves","ankles|feet","resistance_band|plates","beginner","ankle_plantarflexion","calf_raise","visual_band_single_leg_calf_raise","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/9JprnPh.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"Zg3XY7P","lever seated leg curl","Machine Seated Leg Curl","Adds a common commercial-gym knee-flexion option with broad programming value.","strength","hinge","hamstrings","calves","machine","beginner","knee_flexion","hamstring_curl","visual_machine_seated_leg_curl","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/Zg3XY7P.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
